date,total,Android Browser,C iOS,C Plus,Dolfin,IE 6,IE 7,IE 8,IE 9,IE 10,IE 11,FF 2,FF 3,FF 4,FF 5,FF 6,FF 7,FF 8,FF 9,FF 10,FF 11,FF 12,FF 13,FF 14,FF 15,FF 16,FF 17,FF,Mozilla 1,C,C,C Mail.ru,S Mobile,Nokia Browser,O Blink,O 10,O 11,O 12,O 15,O 9,O Mini,O Mobile,O Next,Others,S 1,S 2,S 4,S 5,S 6,S 7,UCWEB,iOS Browser,Yandex.Browser,C Yandex
Jun  2014,97.28,18.31,0.69,,,,,1.34,1.07,1.99,2.35,,,,,,,,,,,,,,,,,9.42,,,25.34,2.44,11.33,1.46,4.17,,,4.37,,,6.03,,,1.34,,,,0.53,,,,,5.1,
Jul  2014,97.35,19.06,0.65,,,,,1.33,1.03,1.97,2.36,,,,,,,,,,,,,,,,,9.12,,,25.49,2.34,11.67,1.43,4.24,,,4.04,,,5.83,,,1.29,,,,0.54,,,,,4.96,
Aug  2014,97.1,19.67,0.66,,,,,1.21,0.97,1.93,2.38,,,,,,,,,,,,,,,,,8.81,,,25.95,2.34,11.76,1.39,4.38,,,3.81,,,5.55,,,1.24,,,,,,,,,5.05,
Sep  2014,97.18,19.62,0.67,,,,,1.2,0.91,1.8,2.51,,,,,,,,,,,,,,,,,8.65,,,26.68,2.31,11.96,1.26,4.54,,,3.63,,,5.09,,,1.12,,,,,,,,,5.23,
Oct  2014,97.73,19.72,0.66,,,,,1.14,0.85,1.68,2.61,,,,,,,,,,,,,,,,,8.47,,,26.97,2.29,12.42,1.18,4.67,,,3.42,,,4.61,,,1.1,,,,,,,0.58,,5.36,
Nov  2014,97.88,20.16,0.66,,,,,0.99,0.77,1.52,2.7,,,,,,,,,,,,,,,,,8.19,,,27.39,2.21,12.67,1.11,4.76,,,3.18,,,4.42,,,1.05,,,,,,,0.67,,5.43,
Dec  2014,98,19.7,0.65,,,,,0.96,0.74,1.46,2.77,,,,,,,,,,,,,,,,,7.97,,,28.52,2.15,12.78,1.02,4.73,,,2.96,,,4.18,,,1.05,,,,,,,0.83,,5.53,
Jan  2015,98.15,18.98,0.67,,,,,0.78,0.66,1.37,2.7,,,,,,,,,,,,,,,,,7.41,,,30.89,2.05,12.9,0.97,4.72,,,2.63,,,3.92,,,1.04,,,,,,,0.99,,5.47,
Feb  2015,98.18,18.38,0.67,,,,,0.79,0.64,1.32,2.77,,,,,,,,,,,,,,,,,7.48,,,31.89,2.01,12.63,0.9,4.78,,,2.48,,,3.74,,,0.96,,,,,,,1.11,,5.63,
Mar  2015,98.25,18.01,,0.67,,,,0.74,0.61,1.3,2.81,,,,,,,,,,,,,,,,,7.32,,,32.81,1.95,,0.85,4.81,,,2.32,,,3.57,,,0.92,12.45,,,,,,,1.07,6.04,
Apr  2015,98.36,17.62,,0.66,,,,0.74,0.59,1.33,2.85,,,,,,,,,,,,,,,,,7.35,,,33.7,1.83,,0.75,4.87,,,2.19,,,3.36,,,0.88,12.5,,,,,,,0.99,6.15,
May  2015,97.95,17.48,,0.67,,,,0.68,0.54,1.29,2.86,,,,,,,,,,,,,,,,,7.12,,,34.5,1.8,,,4.88,,,2,,,3.51,,,0.83,12.56,,,,,,,1.07,6.16,
Jun  2015,98.15,16.78,,0.65,,,,0.72,0.54,1.23,2.99,,,,,,,,,,,,,,,,,7.1,,,35.41,1.76,,,4.9,,,1.92,,,3.56,,,0.81,12.46,,,,,,,1.18,6.14,
